S,id,print,semic,assign,lparen,E,num,L,B,plus,minus,mult,div,rparen,comma,eof
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,-3
2,s1,s1,s1,s1,s1,1,s1,1,1,s1,s1,s1,s1,s1,s1,s1
0,r0,r0,r0,r0,r0,0,r0,0,0,r0,r0,r0,r0,r0,r0,s4
5,s5,s5,s5,,s5,5,s5,5,5,s5,s5,s5,s5,s5,s5,s5
6,s6,s6,s6,s6,,6,s6,6,6,s6,s6,s6,s6,s6,s6,s6
8,s7,s7,s7,s7,s7,7,s7,7,7,s7,s7,s7,s7,s7,s7,s7
8,s8,s8,s8,s8,s8,9,s8,8,8,s8,s8,s8,s8,s8,s8,s8
12,s12,s12,s12,s12,s12,12,s12,13,12,s12,s12,s12,s12,s12,s12,s12
1,r1,r1,r1,r1,r1,1,r1,1,1,r1,r1,r1,r1,r1,r1,r1
2,r2,r2,r2,r2,r2,2,r2,2,2,r2,r2,r2,r2,r2,r2,r2
5,r5,r5,r5,r5,r5,5,r5,5,5,r5,r5,r5,r5,r5,r5,r5
6,r6,r6,r6,r6,r6,6,r6,6,6,r6,r6,r6,r6,r6,r6,r6
23,s22,s22,s22,s22,s22,22,s22,22,22,s22,s22,s22,s22,s22,s22,s22
25,s25,s25,s25,s25,s25,25,s25,25,25,s25,s25,s25,s25,,s25,s25
26,s26,s26,s26,s26,s26,26,s26,26,26,s26,s26,s26,s26,s26,s27,s26
5,r5,r5,r5,r5,r5,5,r5,5,5,r5,r5,r5,r5,r5,r5,r5
6,r6,r6,r6,r6,r6,6,r6,6,6,r6,r6,r6,r6,r6,r6,r6
29,s28,s28,s28,s28,s28,28,s28,28,28,s28,s28,s28,s28,s28,s28,s28
29,s29,s29,s29,s29,s29,30,s29,29,29,s29,s29,s29,s29,s29,s29,s29
11,,r11,r11,r11,r11,11,r11,11,11,r11,r11,r11,r11,r11,r11,r11
12,,r12,r12,r12,r12,12,r12,12,12,r12,r12,r12,r12,r12,r12,r12
13,,r13,r13,r13,r13,13,r13,13,13,r13,r13,r13,r13,r13,r13,r13
14,,r14,r14,r14,r14,14,r14,14,14,r14,r14,r14,r14,r14,r14,r14
30,s30,s30,s30,s30,s30,30,s30,30,30,s30,s30,s30,s30,s30,s31,s30
32,s32,s32,s32,,s32,32,s32,32,32,s32,s32,s32,s32,s32,s32,s32
33,s33,s33,s33,s33,,33,s33,33,33,s33,s33,s33,s33,s33,s33,s33
3,r3,r3,r3,r3,r3,3,r3,3,3,r3,r3,r3,r3,r3,r3,r3
34,s34,s34,s34,s34,s34,34,s34,35,34,s34,s34,s34,s34,s34,s34,s34
35,s35,s35,s35,s35,s35,36,s35,35,35,s35,s35,s35,s35,s35,s35,s35
36,s36,s36,s36,s36,s36,36,s36,36,36,s36,s36,s36,s36,s36,s37,s36
7,r7,r7,r7,r7,r7,7,r7,7,7,r7,r7,r7,r7,r7,r7,r7
37,s37,s37,s37,s37,s37,38,s37,37,37,s37,s37,s37,s37,s37,s37,s37
42,s41,s41,s41,s41,s41,41,s41,41,41,s41,s41,s41,s41,s41,s41,s41
42,s42,s42,s42,s42,s42,43,s42,42,42,s42,s42,s42,s42,s42,s42,s42
46,s46,s46,s46,s46,s46,46,s46,47,46,s46,s46,s46,s46,s46,s46,s46
9,r9,r9,r9,r9,r9,9,r9,9,9,r9,r9,r9,r9,,r9,r9
7,r7,r7,r7,r7,r7,7,r7,7,7,r7,r7,r7,r7,r7,r7,r7
47,s47,s47,s47,s47,s47,48,s47,47,47,s47,s47,s47,s47,s47,s47,s47
48,s48,s48,s48,s48,s48,48,s48,48,48,s48,s48,s48,s48,s49,s48,s48
5,r5,r5,r5,r5,r5,5,r5,5,5,r5,r5,r5,r5,r5,r5,r5
6,r6,r6,r6,r6,r6,6,r6,6,6,r6,r6,r6,r6,r6,r6,r6
51,s50,s50,s50,s50,s50,50,s50,50,50,s50,s50,s50,s50,s50,s50,s50
1,r1,r1,r1,r1,r1,1,r1,1,1,r1,r1,r1,r1,r1,r1,r1
2,r2,r2,r2,r2,r2,2,r2,2,2,r2,r2,r2,r2,r2,r2,r2
5,r5,r5,r5,r5,r5,5,r5,5,5,r5,r5,r5,r5,r5,r5,r5
6,r6,r6,r6,r6,r6,6,r6,6,6,r6,r6,r6,r6,r6,r6,r6
53,s52,s52,s52,s52,s52,52,s52,52,52,s52,s52,s52,s52,s52,s52,s52
53,s53,s53,s53,s53,s53,53,s53,53,53,s53,s53,s53,s53,,s53,s53
54,s54,s54,s54,s54,s54,54,s54,54,54,s54,s54,s54,s54,s55,s54,s54
8,r8,r8,r8,r8,r8,8,r8,8,8,r8,r8,r8,r8,r8,r8,r8
55,s55,s55,s55,s55,s55,56,s55,55,55,s55,s55,s55,s55,s55,s55,s55
56,s56,s56,s56,s56,s56,56,s56,56,56,s56,s56,s56,s56,s56,s57,s56
57,s57,s57,s57,s57,s57,58,s57,57,57,s57,s57,s57,s57,s57,s57,s57
58,s58,s58,s58,s58,s58,58,s58,58,58,s58,s58,s58,s58,s58,s59,s58
3,r3,r3,r3,r3,r3,3,r3,3,3,r3,r3,r3,r3,r3,r3,r3
8,r8,r8,r8,r8,r8,8,r8,8,8,r8,r8,r8,r8,r8,r8,r8
7,r7,r7,r7,r7,r7,7,r7,7,7,r7,r7,r7,r7,r7,r7,r7
59,s59,s59,s59,s59,s59,60,s59,59,59,s59,s59,s59,s59,s59,s59,s59
7,r7,r7,r7,r7,r7,7,r7,7,7,r7,r7,r7,r7,r7,r7,r7
60,s60,s60,s60,s60,s60,61,s60,60,60,s60,s60,s60,s60,s60,s60,s60
61,s61,s61,s61,s61,s61,61,s61,61,61,s61,s61,s61,s61,s62,s61,s61
62,s62,s62,s62,s62,s62,62,s62,62,62,s62,s62,s62,s62,s63,s62,s62
8,r8,r8,r8,r8,r8,8,r8,8,8,r8,r8,r8,r8,r8,r8,r8
8,r8,r8,r8,r8,r8,8,r8,8,8,r8,r8,r8,r8,r8,r8,r8
